rank,title,artist
1,Choosin' Texas,Ella Langley
2,Swim,BTS
3,Man I Need,Olivia Dean
4,I Just Might,Bruno Mars
5,Ordinary,Alex Warren
6,So Easy (To Fall In Love),Olivia Dean
7,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
8,Stateside,PinkPantheressWithZara Larsson
9,The Fate Of Ophelia,Taylor Swift
10,Folded,Kehlani
11,Where Is My Husband!,RAYE
12,Be Her,Ella Langley
13,Opalite,Taylor Swift
14,Sleepless In A Hotel Room,Luke Combs
15,Risk It All,Bruno Mars
16,Babydoll,Dominic Fike
17,Iloveitiloveitiloveit,Bella Kay
18,Dracula,Tame Impala&JENNIE
19,E85,Don Toliver
20,Yukon,Justin Bieber
21,Father,NEW
22,Be By You,Luke Combs
23,American Girls,Harry Styles
24,DTMF,Bad Bunny
25,Homewrecker,sombr
26,Body,Don Toliver
27,All The Love,NEW
28,The Fall,Cody Johnson
29,Die On This Hill,Sienna Spiro
30,Change My Mind,Riley Green
31,Pop Dat Thang,DaBaby
32,White Keys,Dominic Fike
33,Fever Dream,Alex Warren
34,Let 'Em Know,T.I.
35,Elizabeth Taylor,Taylor Swift
36,Lush Life,Zara Larsson
37,What You Saying,Lil Uzi Vert
38,The Great Divide,Noah Kahan
39,Days Like These,Luke Combs
40,King,NEW
41,Motion Party,BossMan Dlow
42,Body To Body,BTS
43,Midnight Sun,Zara Larsson
44,Punch Drunk,NEW
45,Brunette,Tucker Wetmore
46,Loving Life Again,Ella Langley
47,McArthur,"HARDY,Eric Church,Morgan Wallen&Tim McGraw"
48,Porch Light,Noah Kahan
49,Whatever Works,NEW
50,When Did You Get Hot?,Sabrina Carpenter
51,This A Must,NEW
52,Raindance,Dave&Tems
53,Chanel,Tyla
54,Dandelion,Ella Langley
55,Rethink Some Things,Luke Combs
56,I Ain't Coming Back,Morgan WallenFeaturingPost Malone
57,Preacher Man,NEW
58,Aperture,Harry Styles
59,Mama's Favorite,NEW
60,In My Room,Julia Wolf
61,Bully,NEW
62,Highs And Lows,NEW
63,Time's Ticking,Justin Moore
64,Hooligan,BTS
65,Earrings,Malcolm Todd
66,What He'll Never Have,Dylan Scott
67,Sisters And Brothers,NEW
68,Ain't A Bad Life,Thomas RhettFeaturingJordan Davis
69,"Younger You (From The ""Hannah Montana 20th Anniversary Special"")",NEW
70,Turn This Truck Around,Jordan Davis
71,Beautiful Things,Megan Moroney
72,I Can't Wait,NEW
73,Normal,BTS
74,FYA,BTS
75,2.0,BTS
76,Ends Of The Earth,Ty Myers
77,Freakin' Out,Dexter And The Moonrocks
78,Rein Me In,Sam Fender& Olivia Dean
79,Coming Up Roses,Harry Styles
80,The Visitor,Sienna Spiro
81,Last Breath,NEW
82,White Lines,NEW
83,Go Away,Weezer
84,Aliens,BTS
85,Beauty And The Beast,NEW
86,Don't We,Morgan Wallen
87,Circles,NEW
88,Dry Spell,Kacey Musgraves
89,What You Need,Tems
90,Like Animals,BTS
91,Zoo,Shakira
92,Dano,Peso Pluma& Tito Double P
93,Who Knows,Daniel Caesar
94,They Don't Know 'bout Us,BTS
95,Mrs. Trendsetter,Lil Baby
96,Merry Go Round,BTS
97,Griddle,NEW
98,Silent Treatment,NEW
99,Taste Back,Harry Styles
100,Plastic Cigarette,Zach Bryan
