지역,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도,5,106,128,153,173,200,255,263,423
경기도,22,518,576,643,700,785,844,861,2049
경상남도,24,182,218,237,340,393,414,430,793
경상북도,8,115,160,175,250,346,368,388,673
광주광역시,3,48,70,81,96,113,116,116,207
대구광역시,4,159,178,199,215,228,234,243,519
대전광역시,3,79,90,97,107,134,135,141,311
부산광역시,6,91,112,118,128,174,194,199,395
서울특별시,25,404,473,501,540,578,589,594,1396
세종특별자치시,0,45,56,56,57,58,58,58,228
울산광역시,4,36,40,43,46,53,55,58,128
인천광역시,3,104,115,124,140,167,186,190,460
전라남도,20,114,139,159,171,199,259,266,494
전북특별자치도,9,100,119,136,154,200,207,212,392
제주특별자치도,6,144,172,189,189,210,216,224,483
충청남도,5,72,92,106,141,211,212,214,414
충청북도,13,119,138,155,179,204,210,217,429
